doc_id,schema,dokument_art,dokument_typ,institution,aktenzeichen,datum,fundstelle,vorinstanz,norm_vorinstanz_aktenzeichen,norm_kuerzel,titel,leitsatz,gruende,rthema,quelle
1590043,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VIII-ZR-234/13,2014-05-07,MDR-2014-0704; ZIP-2014-0049; NJW-2014-2496; NZM-2014-0551,AG; LG,Bonn-vom-21/11; 201-C-361/12; Bonn-vom-25/07,BGB:280/1; BGB:307; BGB:551/1; BGB:551/3/3; BGB:551/4,"Unzulässigkeit der Verwertung einer Mietkaution
während des laufenden Mietverhältnisses bei streitigen Forderungen des Vermieters",Während des laufenden Mietverhältnisses darf der Vermieter eine Mietsicherheit wegen streitiger Forderungen gegen den Mieter nicht verwerten.,,Schadensersatz; SchuldrechtAT; Miete Pacht,Deubner
0962207,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VI-ZR-33/09,2010-01-19,MDR-2010-0440; NJW-2010-1072; VersR-2010-0392,"LG Gera vom 7.1.2009,; AG Rudolstadt vom 15.11.2007,",1-S-485/07; 1-C-705/06,BGB:823/1; ZPO:286/1/1,"Voraussetzungen eines Anscheinsbeweises bei der Feststellung
von Brandursachen","Zu den Voraussetzungen eines Anscheinsbeweises bei der Feststellung
von Brandursachen (hier: Brand einer Scheune nach dem Hantieren
mit einem Feuerzeug).",,Schadensersatz; Zivilverfahrensrecht,Deubner
1540712,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,IV-ZR-230/05,2006-05-17,BGHReport-2006-1162; MDR-2007-0090; NJW-RR-2006-1178; VersR-2006-1061,OLG Köln -; LG Köln -,5-U-93/03; 23-O-334/02,VVG:12/3; BB-BUZ:6,Setzung der Klagefrist durch den Versicherer vor Anrufung des Ärzteausschusses in der Berufsunfähigkeits-Zusatzversicherung,"Sehen die Bedingungen für die Berufsunfähigkeits-Zusatzversicherung die Anrufung eines Ärzteausschusses im Einverständnis beider Seiten vor, kann der Versicherer, der eine Leistung ablehnt, nicht zugleich die Frist des § 12 Abs. 3 VVG für eine gerichtliche Geltendmachung von Ansprüchen wirksam setzen, wenn er dabei nicht ausdrücklich klarstellt, dass er sich gegen ein Verfahren vor dem Ärzteausschuss entschieden hat.",,Versicherungsrecht,Deubner
1665264,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VIII-ZR-86/16,2017-10-18,BB-2017-2945; BB-2018-1423; MDR-2018-0331; NJW-2018-0291; VersR-2018-1265; WM-2018-1806; ZIP-2017-2363; BGHZ-0216-0193,"LG; OLG Köln vom 24.03.2016,",Bonn-vom-03/04; 14-O-1/13,BGB:278; BGB:280/2; BGB:284; BGB:305c; BGB:307/1/1; BGB:307/2/1; BGB:434; BGB:437/3; BGB:439/2; BGB:478/2,Inhaltskontrolle einer formularmäßig verwendeten Klausel durch den Käufer in einer Qualitätssicherungsvereinbarung zwischen Unternehmern; Verschiebung der Gewährleistungshaftung grundlegend zu Lasten des Verkäufers; Ausschluss eines Mitverschuldens- oder Mitverursachungseinwands gegenüber dem Verkäufer hinsichtlich Entstehung und Höhe des Mehraufwands; Abweichung von den Regelungen des gesetzlichen Kaufgewährleistungsrechts ohne sachlichen Grund; Ermittlung des Bedeutungsgehalts der Klausel hinsichtlich des von ihr erfassten und dem jeweiligen Verkäufer als von ihm zu tragenden zugewiesenen Mehraufwandes,"ZPO § 304; a) Die in einer Qualitätssicherungsvereinbarung zwischen Unternehmern vom Käufer formularmäßig verwendete Klausel; Mehraufwand bei dem AG, der aus Mängeln von Liefergegenständen entsteht, geht in angefallener Höhe zu Lasten des AN. Der Mehraufwand ist dem AN durch den AG nachzuweisen.; hält einer Inhaltskontrolle nach § 307 Abs. 1 Satz 1 BGB in Verbindung mit § 307 Abs. 2 Nr. 1 BGB nicht stand, weil sie ohne sachlichen Grund von den Regelungen des gesetzlichen Kaufgewährleistungsrechts in einer Weise abweicht, die mit wesentlichen Grundgedanken dieser gesetzlichen Regelungen nicht zu vereinbaren ist.; b) Soweit der danach ersatzpflichtig gestellte Mehraufwand jedenfalls bei kundenfeindlichster Auslegung allein an eine mangelbedingte Verursachung anknüpft, erfasst die Klausel in weitgehendem Umfang auch Aufwandspositionen, die - wenn überhaupt - nach der gesetzlichen Gewährleistungskonzeption nur von einer verschuldensabhängigen Schadens- oder Aufwendungsersatzhaftung gedeckt wären, und verschiebt dadurch eine Gewährleistungshaftung grundlegend zu Lasten des Verkäufers.; c) Soweit eine Erstattungspflicht darin ferner nicht auf Aufwendungen beschränkt ist, deren Anfall unter Berücksichtigung der beiderseitigen Interessen nach objektiven Maßstäben billigerweise notwendig und angemessen war, wird ein etwa in §§ 284, 439 Abs. 2 BGB als Ausdruck eines grundlegenden Gebotes der Gerechtigkeit angelegtes Erfordernis missachtet, wonach ein Käufer im Falle einer mangelhaften Lieferung nicht mit jedem nach dem Belieben oder den subjektiven Zweckmäßigkeitserwägungen des Käufers verursachten oder zur Beseitigung oder Milderung der Mangelfolgen veranlassten (Mehr-)Aufwand belastet werden darf.; d) Zudem schneidet die Klausel jedenfalls bei kundenfeindlichster Auslegung dem Verkäufer hinsichtlich Entstehung und Höhe des Mehraufwands auch einen Mitverschuldens- oder Mitverursachungseinwand ab.",,SchuldrechtAT; Schadensersatz; Kauf Tausch Leasing,Deubner
1557508,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VII-ZR-255/08,2009-09-10,NJW-2010-0527,"OLG Stuttgart vom 24.11.2008,; LG Stuttgart vom 23.05.2008,",34-O-17/08,BGB:313/1; BGB:313/2,Mehrvergütungsanspruch eines Bauunternehmers wegen Verschiebung der Bauzeit infolge einer Zuschlagsverzögerung; Auslegung der Ankündigung von verzögerungsbedingten Mehrvergütungsansprüchen eines Bieters in einem vergaberechtlichen Verhandlungsverfahren,"Belässt es der Bieter in einem vergaberechtlichen Verhandlungsverfahren nach § 3 b Nr. 1 c) VOB/A im Rahmen von Verhandlungen mit dem Auftraggeber über die durch eine Zuschlagsverzögerung bedingte Anpassung seines Angebots hinsichtlich der Bauzeit bei der Ankündigung von verzögerungsbedingten Mehrvergütungsansprüchen, so ist eine tatrichterliche Auslegung nicht zu beanstanden, die darin lediglich den Vorbehalt der Durchsetzung möglicher vertraglicher Ansprüche, nicht jedoch eine Abstandnahme von dem abgegebenen Angebot sieht.; Vertragliche Ansprüche können bei einer solchen Auslegung ausgeschlossen sein, wenn der Bieter die bestehende Möglichkeit nicht genutzt hat, den Abschluss des Vertrages von einer Anpassung des Preises für die durch die Bauzeitverschiebung entstandenen Mehrkosten abhängig zu machen.",,SchuldrechtAT,Deubner
1582321,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,IV-ZR-28/12,2012-09-12,MDR-2012-1341; NZS-2012-0005,"AG München vom 13.12.2010,; LG München",233-C-20697/10; I-vom-12/01; 6-S-742/11,VVG:204/1/1/1,Zulässigkeit eines Leistungsausschlusses gem. § 204 Abs. 1 S. 1 Nr. 1 2. Hs. VVG nach Wechsel des Versicherungsnehmers von einem Tarif mit absolutem jährlichem Selbstbehalt in einen neuen Tarif mit behandlungsbezogenem Selbstbehalt,"Macht der Versicherungsnehmer einer privaten Krankenversicherung von seinem Recht Gebrauch, innerhalb eines bestehenden Versicherungsverhältnisses von dem bisherigen Tarif (""Herkunftstarif"") mit einem absoluten jährlichen Selbstbehalt in einen neuen Tarif (""Zieltarif"") mit behandlungsbezogenem Selbstbehalt zu wechseln, kann der Versicherer gemäß § 204 Abs. 1 Satz 1 Nr. 1 Halbsatz 2 VVG einen Leistungsausschluss nur verlangen, soweit der behandlungsbezogene Selbstbehalt den absoluten Selbstbehalt nicht ausschöpft. Der kumulative Ansatz sowohl des absoluten als auch des behandlungsbezogenen Selbstbehalts ist unzulässig.",,Versicherungsrecht,Deubner
1520780,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,III-ZR-207/01,2002-07-25,MDR-2003-0032; NZA-2002-1040; WM-2003-0837; ZIP-2002-1593,OLG Oldenburg; LG Osnabrück,,KSchG:14; BGB:620,Zulässigkeit der Befristung des Anstellungsvertrags des Hauptgeschäftsführers einer Handwerkskammer,"Der zum ständigen Vertreter des Hauptgeschäftsführers bestellte Geschäftsführer einer Handwerkskammer ist Organvertreter im Sinne des § 14 Abs. 1 Nr. 1 KSchG. Eine Befristung seines Anstellungsvertrags war daher, ohne Rücksicht darauf, ob ein Arbeitsverhältnis vorlag, jedenfalls vor dem Inkrafttreten des Gesetzes über Teilzeitarbeit und befristete Arbeitsverträge und zur Änderung und Aufhebung arbeitsrechtlicher Bestimmungen vom 21. Dezember 2000 (BGBl. I S. 1966 ) zulässig.",,Schuldverhältnisse,Deubner
1572978,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VI-ZR-191/10,2011-06-28,,"AG Bad Berleburg vom 25.11.2009,; LG Siegen vom 14.06.2010,",1-C-259/08; 3-S-126/09,StVG:7; BGB:249/2; BGB:823; FSHG:41/2/1/3,"Abtretung öffentlich-rechtlicher Forderungen
an eine Privatperson ist nur unter bestimmten Voraussetzungen möglich;
Zulässigkeit der Abtretung öffentlich-rechtlicher
Forderungen an eine Privatperson; Abtretung des Anspruchs einer
Gemeinde auf Ersatz der Kosten für die Beseitigung einer Ölspur",,,Schadensersatz; SchuldrechtAT,Deubner
1550273,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,IX-ZR-128/07,2008-07-10,BGHReport-2008-1157; MDR-2008-1148; NJW-2008-2771; NZM-2008-0644; WuM-2008-0625,OLG Celle -; LG Hannover -,20-O-149/06,BGB:541,Entziehung des vertragsmäßigen Gebrauchs einer Mietsache durch den wahren Berechtigten,"Dem Mieter, der Räume von einem nicht verfügungsberechtigten Vermieter gemietet hat, wird der vertragsmäßige Gebrauch bereits dadurch entzogen, dass der wahre Berechtigte nicht bereit ist, den Mieter die Mietsache zu den mit dem Vermieter vereinbarten Konditionen nutzen zu lassen.",,Miete Pacht,Deubner
1540060,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VIII-ZR-91/05,2006-02-22,BGHReport-2006-0831; NJW-RR-2006-0854; WM-2006-1448,OLG Naumburg -; LG Halle -,10-O-134/00,KWKG:6; KWKG:7/2; KWKG:12/2; KWKG:12/1,Geltendmachung von Belastungsausgleich nach dem KWKG; Rechtsfolgen der Versäumung der Ausschlussfrist,"a) § 12 Abs. 2 KWKG 2002 enthält eine Ausschlussfrist, deren Ablauf nicht zu einer bloßen Einredebefugnis gegenüber einem fortbestehenden Recht führt, sondern den Untergang des Rechts zur Folge hat. Daher ist ein Anspruch auf Belastungsausgleich nach § 5 Abs. 1 Satz 1 Alt. 1 KWKG 2000, der bis zum Außerkrafttreten des Kraft-Wärme-Kopplungsgesetzes 2000 am 1. April 2002 entstanden, aber bis zum 31. Dezember 2003 nicht erhoben worden ist, ausgeschlossen.; b) § 7 Abs. 2 KWKG 2000 ist gemäß § 13 Abs. 1 KWKG 2002 am 1. April 2002 außer Kraft getreten. Der durch § 7 Abs. 2 Satz 2 KWKG 2000 angeordneten Fortgeltung der Übergangsregelung des § 6 KWKG 2000 bedarf es nicht mehr, weil diese durch § 12 Abs. 2 KWKG 2002 ersetzt worden ist.",,Schuldverhältnisse,Deubner
