doc_id,schema,dokument_art,dokument_typ,institution,datum,titel,themen,quelle
1533924.xml,rspvwa,Beschluss,Obere Rechtsprechung,Bundesgerichtshof,2004-10-06,Anpassung des ehevertraglichen Ausschlusses des Versorgungsausgleichs,"BGBAT, SchuldrechtAT, Familienrecht, ELWI-FAMR",Deubner
1502521.xml,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,1998-10-06,Rechtsfolgen des Verstoßes eines Arztes gegen die Pflicht zur Erhebung eines medizinisch zweifelsfrei gebotenen Befundes,"Schadensersatz, Zivilverfahrensrecht",Deubner
1668998.xml,rspvwa,Beschluss,Obere Rechtsprechung,Bundesgerichtshof,2018-06-14,Rücknahme des Antrags eines Schuldners auf Restschuldbefreiung mit Zustimmung des Gläubigers bei Entscheidungsreife der Sache; Stellen eines zulässigen Versagungsantrags durch einen Gläubiger in dem zur Anhörung anberaumten Termin oder innerhalb der stattdessen gesetzten Erklärungsfrist,Insolvenzrecht,Deubner
1590043.xml,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,2014-05-07,"Unzulässigkeit der Verwertung einer Mietkaution
während des laufenden Mietverhältnisses bei streitigen Forderungen des Vermieters","Schadensersatz, SchuldrechtAT, Miete Pacht",Deubner
0168140.xml,rspvwa,Beschluss,Obere Rechtsprechung,Bundesgerichtshof,1997-07-21,Zulassung zur Rechtsanwaltschaft - Antrag auf Wiederaufnahme des Verfahrens,"Berufsrecht Rechtsanwälte, Zivilverfahrensrecht, Zivilverfahrensrecht",
1504150.xml,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,1994-02-22,Devisenkontrollen nach dem IWF-Übereinkommen (IWF-Ü),Schadensersatz,Deubner
1542105.xml,rspvwa,Beschluss,Obere Rechtsprechung,Bundesgerichtshof,2006-07-03,Voraussetzungen der Bestimmung eines zuständigen Gerichts durch das im Rechtszug zunächst höhere,Zivilverfahrensrecht,Deubner
1656876.xml,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,2016-07-08,Unterbrechung einer Wohnungseigentümerversammlung; Mandantengespräch zwischen den von einem Beschlussanfechtungsverfahren betroffenen Wohnungseigentümer und ihrem Prozessbevollmächtigten während der Versammlung; Ordnungsmäßige Durchführung der Versammlung; Beschränkung der Revision auf einzelne Beschlussmängelgründe,"Wohnungseigentum, Berufsrecht Rechtsanwälte",Deubner
0120138.xml,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,1991-01-31,"Berücksichtigung von Leasing-Geschäften bei der Bemessung des
Ausgleichsanspruchs des Vertragshändlers.","Handelsrecht Gesellschaftsrecht, Handelsrecht Gesellschaftsrecht",
1534093.xml,rspvwa,Beschluss,Obere Rechtsprechung,Bundesgerichtshof,2004-12-10,Pfändbarkeit von Ansprüchen aus der Versorgung der Rechtsanwälte in Baden-Württemberg,"Berufsrecht Rechtsanwälte, Zivilverfahrensrecht",Deubner
